,metric,region,scen,seas,tslice,value
0,CDD,ARMOOR,RCP45,Annual,2021-2050,-23.0
1,CDD,ARMOOR,RCP45,Annual,2061-2090,-8.0
2,CDD,ARMOOR,RCP45,JJAS,2021-2050,0.0
3,CDD,ARMOOR,RCP45,JJAS,2061-2090,0.0
4,CDD,ARMOOR,RCP45,ON,2021-2050,-7.0
5,CDD,ARMOOR,RCP45,ON,2061-2090,-15.0
6,CDD,ARMOOR,RCP45,DJF,2021-2050,4.0
7,CDD,ARMOOR,RCP45,DJF,2061-2090,19.0
8,CDD,ARMOOR,RCP45,MAM,2021-2050,-17.0
9,CDD,ARMOOR,RCP45,MAM,2061-2090,-16.0
10,CDD,ARMOOR,RCP85,Annual,2021-2050,-31.0
11,CDD,ARMOOR,RCP85,Annual,2061-2090,-38.0
12,CDD,ARMOOR,RCP85,JJAS,2021-2050,0.0
13,CDD,ARMOOR,RCP85,JJAS,2061-2090,0.0
14,CDD,ARMOOR,RCP85,ON,2021-2050,-9.0
15,CDD,ARMOOR,RCP85,ON,2061-2090,-17.0
16,CDD,ARMOOR,RCP85,DJF,2021-2050,4.0
17,CDD,ARMOOR,RCP85,DJF,2061-2090,2.0
18,CDD,ARMOOR,RCP85,MAM,2021-2050,-17.0
19,CDD,ARMOOR,RCP85,MAM,2061-2090,-21.0
20,CDD,YELLANDU,RCP45,Annual,2021-2050,-29.0
21,CDD,YELLANDU,RCP45,Annual,2061-2090,-17.0
22,CDD,YELLANDU,RCP45,JJAS,2021-2050,0.0
23,CDD,YELLANDU,RCP45,JJAS,2061-2090,0.0
24,CDD,YELLANDU,RCP45,ON,2021-2050,-9.0
25,CDD,YELLANDU,RCP45,ON,2061-2090,-17.0
26,CDD,YELLANDU,RCP45,DJF,2021-2050,-7.0
27,CDD,YELLANDU,RCP45,DJF,2061-2090,6.0
28,CDD,YELLANDU,RCP45,MAM,2021-2050,-12.0
29,CDD,YELLANDU,RCP45,MAM,2061-2090,-14.0
30,CDD,YELLANDU,RCP85,Annual,2021-2050,-28.0
31,CDD,YELLANDU,RCP85,Annual,2061-2090,-37.0
32,CDD,YELLANDU,RCP85,JJAS,2021-2050,0.0
33,CDD,YELLANDU,RCP85,JJAS,2061-2090,0.0
34,CDD,YELLANDU,RCP85,ON,2021-2050,-18.0
35,CDD,YELLANDU,RCP85,ON,2061-2090,-20.0
36,CDD,YELLANDU,RCP85,DJF,2021-2050,1.0
37,CDD,YELLANDU,RCP85,DJF,2061-2090,-7.0
38,CDD,YELLANDU,RCP85,MAM,2021-2050,-8.0
39,CDD,YELLANDU,RCP85,MAM,2061-2090,-11.0
40,CDD,WARANGAL,RCP45,Annual,2021-2050,-25.0
41,CDD,WARANGAL,RCP45,Annual,2061-2090,-19.0
42,CDD,WARANGAL,RCP45,JJAS,2021-2050,0.0
43,CDD,WARANGAL,RCP45,JJAS,2061-2090,0.0
44,CDD,WARANGAL,RCP45,ON,2021-2050,-12.25
45,CDD,WARANGAL,RCP45,ON,2061-2090,-15.25
46,CDD,WARANGAL,RCP45,DJF,2021-2050,8.0
47,CDD,WARANGAL,RCP45,DJF,2061-2090,8.25
48,CDD,WARANGAL,RCP45,MAM,2021-2050,-15.5
49,CDD,WARANGAL,RCP45,MAM,2061-2090,-19.0
50,CDD,WARANGAL,RCP85,Annual,2021-2050,-31.0
51,CDD,WARANGAL,RCP85,Annual,2061-2090,-42.5
52,CDD,WARANGAL,RCP85,JJAS,2021-2050,0.0
53,CDD,WARANGAL,RCP85,JJAS,2061-2090,0.0
54,CDD,WARANGAL,RCP85,ON,2021-2050,-18.25
55,CDD,WARANGAL,RCP85,ON,2061-2090,-25.75
56,CDD,WARANGAL,RCP85,DJF,2021-2050,6.25
57,CDD,WARANGAL,RCP85,DJF,2061-2090,-0.25
