MUN_NAME,scen,seas,tslice,var,value
ARMOOR,RCP45,Annual,2021-2050,precip,21.657711
ARMOOR,RCP45,Annual,2021-2050,tmean,1.4344382
ARMOOR,RCP45,Annual,2021-2050,tmax,1.5758935
ARMOOR,RCP45,Annual,2021-2050,tmin,1.4444724
ARMOOR,RCP45,Annual,2061-2090,precip,37.98259
ARMOOR,RCP45,Annual,2061-2090,tmean,2.201512
ARMOOR,RCP45,Annual,2061-2090,tmax,1.8555099
ARMOOR,RCP45,Annual,2061-2090,tmin,2.2555451
ARMOOR,RCP45,JJAS,2021-2050,precip,9.405342
ARMOOR,RCP45,JJAS,2021-2050,tmean,1.2656622
ARMOOR,RCP45,JJAS,2021-2050,tmax,1.5039344
ARMOOR,RCP45,JJAS,2021-2050,tmin,1.1488228
ARMOOR,RCP45,JJAS,2061-2090,precip,21.57096
ARMOOR,RCP45,JJAS,2061-2090,tmean,1.975915
ARMOOR,RCP45,JJAS,2061-2090,tmax,1.8685107
ARMOOR,RCP45,JJAS,2061-2090,tmin,1.7648082
ARMOOR,RCP45,ON,2021-2050,precip,35.40116
ARMOOR,RCP45,ON,2021-2050,tmean,1.2403374
ARMOOR,RCP45,ON,2021-2050,tmax,1.4928608
ARMOOR,RCP45,ON,2021-2050,tmin,1.3513393
ARMOOR,RCP45,ON,2061-2090,precip,64.211754
ARMOOR,RCP45,ON,2061-2090,tmean,1.946763
ARMOOR,RCP45,ON,2061-2090,tmax,1.4240017
ARMOOR,RCP45,ON,2061-2090,tmin,2.1550388
ARMOOR,RCP45,DJF,2021-2050,precip,7.273045
ARMOOR,RCP45,DJF,2021-2050,tmean,1.56663
ARMOOR,RCP45,DJF,2021-2050,tmax,1.9128113
ARMOOR,RCP45,DJF,2021-2050,tmin,1.7813091
ARMOOR,RCP45,DJF,2061-2090,precip,25.394703
ARMOOR,RCP45,DJF,2061-2090,tmean,2.374033
ARMOOR,RCP45,DJF,2061-2090,tmax,2.1192157
ARMOOR,RCP45,DJF,2061-2090,tmin,2.7160711
ARMOOR,RCP45,MAM,2021-2050,precip,43.216568
ARMOOR,RCP45,MAM,2021-2050,tmean,1.6566817
ARMOOR,RCP45,MAM,2021-2050,tmax,1.3902766
ARMOOR,RCP45,MAM,2021-2050,tmin,1.5639242
ARMOOR,RCP45,MAM,2061-2090,precip,54.966537
ARMOOR,RCP45,MAM,2061-2090,tmean,2.4996204
ARMOOR,RCP45,MAM,2061-2090,tmax,1.862142
ARMOOR,RCP45,MAM,2061-2090,tmin,2.516339
ARMOOR,RCP85,Annual,2021-2050,precip,26.539213
ARMOOR,RCP85,Annual,2021-2050,tmean,1.5955933
ARMOOR,RCP85,Annual,2021-2050,tmax,1.7975119
ARMOOR,RCP85,Annual,2021-2050,tmin,1.6992584
ARMOOR,RCP85,Annual,2061-2090,precip,35.294056
ARMOOR,RCP85,Annual,2061-2090,tmean,3.587599
ARMOOR,RCP85,Annual,2061-2090,tmax,3.4614909
ARMOOR,RCP85,Annual,2061-2090,tmin,3.9603448
ARMOOR,RCP85,JJAS,2021-2050,precip,15.662025
ARMOOR,RCP85,JJAS,2021-2050,tmean,1.3955379
ARMOOR,RCP85,JJAS,2021-2050,tmax,1.7077012
ARMOOR,RCP85,JJAS,2021-2050,tmin,1.3711486
ARMOOR,RCP85,JJAS,2061-2090,precip,18.677662
ARMOOR,RCP85,JJAS,2061-2090,tmean,3.201981
ARMOOR,RCP85,JJAS,2061-2090,tmax,3.285739
ARMOOR,RCP85,JJAS,2061-2090,tmin,3.263763
ARMOOR,RCP85,ON,2021-2050,precip,66.252144
ARMOOR,RCP85,ON,2021-2050,tmean,1.4023113
