,metric,region,scen,tslice,value
0,ecacsu,ARMOOR,RCP45,2021-2050,1.1666666
1,ecacsu,ARMOOR,RCP45,2061-2090,0.6666667
2,ecacsu,ARMOOR,RCP85,2021-2050,1.4
3,ecacsu,ARMOOR,RCP85,2061-2090,1.0666667
4,ecacsu,YELLANDU,RCP45,2021-2050,1.6
5,ecacsu,YELLANDU,RCP45,2061-2090,2.4666667
6,ecacsu,YELLANDU,RCP85,2021-2050,1.8
7,ecacsu,YELLANDU,RCP85,2061-2090,2.1
8,ecacsu,WARANGAL,RCP45,2021-2050,1.3583333
9,ecacsu,WARANGAL,RCP45,2061-2090,2.3583333
10,ecacsu,WARANGAL,RCP85,2021-2050,1.5666667
11,ecacsu,WARANGAL,RCP85,2061-2090,2.0333333
12,ecacsu,SIRICILLA,RCP45,2021-2050,1.2
13,ecacsu,SIRICILLA,RCP45,2061-2090,1.9166666
14,ecacsu,SIRICILLA,RCP85,2021-2050,1.4833333
15,ecacsu,SIRICILLA,RCP85,2061-2090,1.6333333
16,ecacsu,SATHUPALLY,RCP45,2021-2050,1.5
17,ecacsu,SATHUPALLY,RCP45,2061-2090,2.8666666
18,ecacsu,SATHUPALLY,RCP85,2021-2050,1.6
19,ecacsu,SATHUPALLY,RCP85,2061-2090,2.5333333
20,ecacsu,RAMAGUNDEM,RCP45,2021-2050,0.8
21,ecacsu,RAMAGUNDEM,RCP45,2061-2090,0.23333333
22,ecacsu,RAMAGUNDEM,RCP85,2021-2050,0.8333333
23,ecacsu,RAMAGUNDEM,RCP85,2061-2090,0.5
24,ecacsu,PALWANCHA,RCP45,2021-2050,1.8166667
25,ecacsu,PALWANCHA,RCP45,2061-2090,2.7333333
26,ecacsu,PALWANCHA,RCP85,2021-2050,1.9333333
27,ecacsu,PALWANCHA,RCP85,2061-2090,2.25
28,ecacsu,NIRMAL,RCP45,2021-2050,0.9166667
29,ecacsu,NIRMAL,RCP45,2061-2090,0.33333334
30,ecacsu,NIRMAL,RCP85,2021-2050,1.0333333
31,ecacsu,NIRMAL,RCP85,2061-2090,0.6333333
32,ecacsu,METPALLY,RCP45,2021-2050,1.0166667
33,ecacsu,METPALLY,RCP45,2061-2090,0.45833334
34,ecacsu,METPALLY,RCP85,2021-2050,1.1416667
35,ecacsu,METPALLY,RCP85,2061-2090,0.55833334
36,ecacsu,MANUGURU,RCP45,2021-2050,2.1166666
37,ecacsu,MANUGURU,RCP45,2061-2090,2.3833334
38,ecacsu,MANUGURU,RCP85,2021-2050,2.3
39,ecacsu,MANUGURU,RCP85,2061-2090,1.8166667
40,ecacsu,MANDAMARRI,RCP45,2021-2050,0.33333334
41,ecacsu,MANDAMARRI,RCP45,2061-2090,-0.2
42,ecacsu,MANDAMARRI,RCP85,2021-2050,0.16666667
43,ecacsu,MANDAMARRI,RCP85,2061-2090,-0.033333335
44,ecacsu,MANCHERIAL,RCP45,2021-2050,0.56666666
45,ecacsu,MANCHERIAL,RCP45,2061-2090,0.016666668
46,ecacsu,MANCHERIAL,RCP85,2021-2050,0.5
47,ecacsu,MANCHERIAL,RCP85,2061-2090,0.23333333
48,ecacsu,MUNBND_KOTTHAGUDEM,RCP45,2021-2050,1.75
49,ecacsu,MUNBND_KOTTHAGUDEM,RCP45,2061-2090,2.8
50,ecacsu,MUNBND_KOTTHAGUDEM,RCP85,2021-2050,1.7833333
51,ecacsu,MUNBND_KOTTHAGUDEM,RCP85,2061-2090,2.2833333
52,ecacsu,KORUTLA,RCP45,2021-2050,1.1333333
53,ecacsu,KORUTLA,RCP45,2061-2090,0.73333335
54,ecacsu,KORUTLA,RCP85,2021-2050,1.5
55,ecacsu,KORUTLA,RCP85,2061-2090,0.8
56,ecacsu,KHAMMAM,RCP45,2021-2050,1.4833333
57,ecacsu,KHAMMAM,RCP45,2061-2090,2.55
58,ecacsu,KHAMMAM,RCP85,2021-2050,1.7833333
59,ecacsu,KHAMMAM,RCP85,2061-2090,2.2333333
60,ecacsu,KARIMNAGAR,RCP45,2021-2050,1.5
61,ecacsu,KARIMNAGAR,RCP45,2061-2090,1.2
62,ecacsu,KARIMNAGAR,RCP85,2021-2050,1.7666667
63,ecacsu,KARIMNAGAR,RCP85,2061-2090,1.0833334
64,ecacsu,KAGAZNAGAR,RCP45,2021-2050,0.3
65,ecacsu,KAGAZNAGAR,RCP45,2061-2090,-0.16666667
66,ecacsu,KAGAZNAGAR,RCP85,2021-2050,0.23333333
67,ecacsu,KAGAZNAGAR,RCP85,2061-2090,-0.06666667
68,ecacsu,JANGAON,RCP45,2021-2050,0.56666666
69,ecacsu,JANGAON,RCP45,2061-2090,2.6
70,ecacsu,JANGAON,RCP85,2021-2050,0.6333333
71,ecacsu,JANGAON,RCP85,2061-2090,2.3
72,ecacsu,JAGTIAL,RCP45,2021-2050,1.1333333
73,ecacsu,JAGTIAL,RCP45,2061-2090,0.53333336
74,ecacsu,JAGTIAL,RCP85,2021-2050,1.0666667
75,ecacsu,JAGTIAL,RCP85,2061-2090,0.53333336
76,ecacsu,BHAINSA,RCP45,2021-2050,1.0
77,ecacsu,BHAINSA,RCP45,2061-2090,0.48333332
78,ecacsu,BHAINSA,RCP85,2021-2050,1.05
79,ecacsu,BHAINSA,RCP85,2061-2090,0.81666666
80,ecacsu,ADILABAD,RCP45,2021-2050,0.4
81,ecacsu,ADILABAD,RCP45,2061-2090,-0.1
82,ecacsu,ADILABAD,RCP85,2021-2050,0.1
83,ecacsu,ADILABAD,RCP85,2061-2090,-0.2
84,ecacsu,ZAHEERABAD,RCP45,2021-2050,0.2
85,ecacsu,ZAHEERABAD,RCP45,2061-2090,2.6833334
86,ecacsu,ZAHEERABAD,RCP85,2021-2050,0.15
87,ecacsu,ZAHEERABAD,RCP85,2061-2090,2.0166667
88,ecacsu,WANAPARTHY,RCP45,2021-2050,0.16666667
89,ecacsu,WANAPARTHY,RCP45,2061-2090,2.6
90,ecacsu,WANAPARTHY,RCP85,2021-2050,0.23333333
91,ecacsu,WANAPARTHY,RCP85,2061-2090,2.6
92,ecacsu,VIKARABAD,RCP45,2021-2050,0.055555556
